Date,Open,High,Low,Close,Adj Close,Volume
2009-10-19,4.340000,4.340000,4.150000,4.180000,3.968043,5466000
2009-10-20,4.310000,4.470000,4.280000,4.350000,4.129422,6429000
2009-10-21,4.300000,4.460000,3.820000,3.870000,3.673762,13610000
2009-10-22,3.980000,4.080000,3.530000,3.860000,3.664269,19270400
2009-10-23,3.950000,3.980000,3.670000,3.690000,3.502889,8925000
2009-10-26,3.720000,3.780000,3.300000,3.370000,3.199116,13836300
2009-10-27,3.380000,3.450000,3.100000,3.140000,2.980779,13157400
2009-10-28,3.160000,3.280000,3.080000,3.130000,2.971286,16060800
2009-10-29,3.210000,3.290000,3.190000,3.210000,3.047230,6717100
2009-10-30,3.220000,3.250000,2.950000,3.060000,2.904835,14126900
2009-11-02,3.120000,3.130000,2.820000,2.910000,2.762441,10827400
2009-11-03,2.880000,3.030000,2.840000,2.930000,2.781427,7070500
2009-11-04,3.070000,3.140000,2.900000,2.920000,2.771934,8695800
2009-11-05,2.950000,2.990000,2.860000,2.950000,2.800413,6511200
2009-11-06,2.930000,3.260000,2.900000,3.190000,3.028243,12495000
2009-11-09,3.270000,3.280000,3.130000,3.200000,3.037736,6462000
2009-11-10,3.200000,3.220000,3.020000,3.060000,2.904835,6738600
2009-11-11,3.150000,3.240000,3.060000,3.230000,3.066216,7048700
2009-11-12,3.210000,3.370000,3.140000,3.150000,2.990272,8979500
2009-11-13,3.180000,3.280000,3.180000,3.220000,3.056722,5040800
2009-11-16,3.270000,3.440000,3.260000,3.380000,3.208609,8062400
2009-11-17,3.360000,3.420000,3.300000,3.350000,3.180130,4825600
2009-11-18,3.360000,3.370000,3.210000,3.270000,3.104187,5684100
2009-11-19,3.230000,3.230000,3.080000,3.120000,2.961793,6206300
2009-11-20,3.100000,3.180000,3.040000,3.100000,2.942806,5269200
2009-11-23,3.170000,3.180000,3.080000,3.100000,2.942806,5424600
2009-11-24,3.120000,3.300000,3.120000,3.300000,3.132665,10244000
2009-11-25,3.350000,3.620000,3.300000,3.530000,3.351003,9545500
2009-11-27,3.360000,3.580000,3.270000,3.470000,3.294045,3757900
2009-11-30,3.480000,3.720000,3.400000,3.690000,3.502889,8006200
2009-12-01,3.770000,3.840000,3.630000,3.690000,3.502889,11504000
2009-12-02,3.770000,3.980000,3.770000,3.970000,3.768691,12197000
2009-12-03,4.010000,4.110000,3.880000,4.060000,3.854128,12767400
2009-12-04,4.170000,4.460000,4.160000,4.430000,4.205366,20554200
2009-12-07,4.420000,4.730000,4.320000,4.650000,4.414210,15081000
2009-12-08,4.610000,4.770000,4.460000,4.500000,4.271817,12369500
2009-12-09,4.590000,4.590000,4.350000,4.430000,4.205366,9709800
2009-12-10,4.420000,4.490000,4.270000,4.370000,4.148408,7942500
2009-12-11,4.400000,4.880000,4.400000,4.830000,4.585083,18680900
2009-12-14,4.940000,5.040000,4.730000,4.750000,4.509140,11833600
2009-12-15,4.620000,4.740000,4.500000,4.530000,4.300296,11087200
2009-12-16,4.530000,4.830000,4.520000,4.780000,4.537619,8103200
2009-12-17,4.650000,4.770000,4.580000,4.620000,4.385731,5044800
2009-12-18,4.610000,4.630000,4.320000,4.530000,4.300296,9340400
2009-12-21,4.520000,4.630000,4.460000,4.600000,4.366745,5151800
2009-12-22,4.620000,5.210000,4.600000,5.130000,4.869871,25127200
2009-12-23,5.130000,5.200000,4.880000,5.170000,4.907843,11296000
2009-12-24,5.200000,5.400000,5.170000,5.380000,5.107195,7209600
2009-12-28,5.220000,5.400000,4.880000,5.020000,4.765449,13233900
2009-12-29,5.040000,5.110000,4.790000,4.850000,4.604069,10470400
2009-12-30,4.840000,4.930000,4.680000,4.870000,4.623055,8461900
2009-12-31,4.920000,4.970000,4.830000,4.840000,4.594576,5268600
2010-01-04,4.840000,4.940000,4.660000,4.770000,4.528126,9837300
2010-01-05,4.790000,5.370000,4.710000,5.310000,5.040743,25212000
2010-01-06,5.190000,5.380000,5.000000,5.090000,4.831900,16597900
2010-01-07,5.060000,5.430000,5.050000,5.240000,4.974292,14033400
2010-01-08,5.270000,5.430000,5.060000,5.140000,4.879363,12760000
2010-01-11,5.130000,5.230000,4.940000,5.040000,4.784434,10952900
2010-01-12,5.060000,5.150000,4.960000,5.080000,4.822406,7870300
2010-01-13,5.120000,5.500000,5.020000,5.480000,5.202122,16400500
2010-01-14,5.460000,5.710000,5.410000,5.590000,5.306545,12767100
2010-01-15,5.640000,5.840000,5.430000,5.500000,5.221108,10985300
2010-01-19,5.500000,5.730000,5.500000,5.640000,5.354009,7807700
2010-01-20,5.650000,5.890000,5.610000,5.740000,5.448938,13289100
2010-01-21,5.880000,5.960000,5.420000,5.460000,5.183137,15641000
2010-01-22,5.480000,5.520000,5.110000,5.240000,4.974292,11463400
2010-01-25,5.340000,5.500000,5.150000,5.220000,4.955307,8168200
2010-01-26,5.210000,5.280000,5.050000,5.050000,4.793927,8787500
2010-01-27,5.100000,5.170000,4.470000,4.860000,4.613563,21655400
2010-01-28,4.990000,5.220000,4.710000,5.140000,4.879363,19157300
2010-01-29,5.230000,5.610000,5.170000,5.310000,5.040743,19094600
2010-02-01,5.430000,5.630000,5.350000,5.600000,5.316039,10965100
2010-02-02,5.650000,6.000000,5.620000,5.960000,5.657784,14363700
2010-02-03,5.940000,5.980000,5.650000,5.660000,5.372996,9137400
2010-02-04,5.820000,5.820000,5.470000,5.490000,5.211617,11591200
2010-02-05,5.500000,6.030000,5.430000,5.890000,5.591333,18555800
2010-02-08,5.880000,6.110000,5.820000,5.930000,5.629304,9765900
2010-02-09,6.150000,6.490000,6.150000,6.440000,6.113445,20482500
2010-02-10,6.390000,6.430000,6.210000,6.310000,5.990036,9782200
2010-02-11,6.300000,6.520000,6.220000,6.320000,5.999528,14084500
2010-02-12,6.270000,6.910000,6.190000,6.810000,6.464683,17096200
2010-02-16,6.930000,7.000000,6.750000,6.880000,6.531132,21834000
2010-02-17,6.890000,6.970000,6.760000,6.800000,6.455189,9148800
2010-02-18,6.750000,6.810000,6.650000,6.730000,6.388738,6967700
2010-02-19,6.650000,6.960000,6.650000,6.930000,6.578597,6210700
2010-02-22,6.970000,7.230000,6.970000,7.020000,6.664033,11828600
2010-02-23,7.090000,7.230000,6.920000,7.090000,6.730484,13810400
2010-02-24,7.140000,7.210000,7.060000,7.170000,6.806427,8840200
2010-02-25,7.060000,7.140000,6.910000,7.080000,6.720993,7673100
2010-02-26,7.060000,7.400000,7.060000,7.330000,6.958314,8577100
2010-03-01,7.410000,7.750000,7.400000,7.690000,7.300060,15370200
2010-03-02,7.740000,7.820000,7.500000,7.680000,7.290566,9444100
2010-03-03,7.510000,7.630000,7.170000,7.470000,7.091216,17457100
2010-03-04,7.480000,7.550000,7.240000,7.320000,6.948822,8061900
2010-03-05,7.430000,7.480000,7.310000,7.430000,7.053244,6454500
2010-03-08,7.450000,7.570000,7.300000,7.320000,6.948822,6272800
2010-03-09,7.380000,7.930000,7.370000,7.710000,7.319046,13877600
2010-03-10,7.800000,8.170000,7.800000,7.940000,7.537383,9490400
2010-03-11,7.920000,7.940000,7.650000,7.840000,7.442454,7152300
2010-03-12,7.970000,8.000000,7.710000,7.950000,7.546875,11332300
2010-03-15,7.880000,7.930000,7.720000,7.900000,7.499411,4790900
2010-03-16,7.930000,7.960000,7.730000,7.770000,7.376002,5915400
2010-03-17,7.710000,7.800000,7.500000,7.590000,7.205130,6795600
2010-03-18,7.550000,7.730000,7.500000,7.500000,7.119693,4770400
2010-03-19,7.100000,7.540000,7.070000,7.100000,6.739976,8532000
2010-03-22,7.080000,7.380000,6.810000,7.270000,6.901357,8027200
2010-03-23,7.340000,7.410000,7.100000,7.390000,7.015271,4717900
2010-03-24,7.270000,7.520000,7.270000,7.410000,7.034258,4582900
2010-03-25,7.460000,7.700000,7.340000,7.370000,6.996286,5305800
2010-03-26,7.420000,7.610000,7.280000,7.300000,6.929836,4264400
2010-03-29,7.440000,7.460000,7.250000,7.320000,6.948822,2837000
