Date,Open,High,Low,Close,Adj Close,Volume
10/18/2016,63.27,63.48,62.459999,63.369999,57.079933,2833900
10/19/2016,63.380001,63.439999,62.860001,63.189999,56.917801,2351300
10/20/2016,63.220001,63.41,62.77,62.91,56.665588,1682700
10/21/2016,62.59,62.799999,62.200001,62.48,56.278275,1782700
10/24/2016,62.759998,63.130001,62.48,63.029999,56.773685,1677400
10/25/2016,62.82,63.709999,62.77,63.459999,57.161003,2535100
10/26/2016,63.349998,63.869999,62.939999,63.529999,57.224056,2250800
10/27/2016,63.310001,63.470001,62.759998,63.189999,56.917801,2305000
10/28/2016,63.23,63.849998,63.16,63.41,57.115967,2351900
10/31/2016,63.59,65.25,63.57,64.839996,58.404018,4076400
11/1/2016,64.550003,64.900002,63.110001,63.380001,57.08894,4536100
11/2/2016,62.740002,62.889999,61.919998,62.610001,56.395378,3156200
11/3/2016,62.470001,63.369999,62.18,62.919998,56.674595,2401800
11/4/2016,63.25,63.740002,62.360001,62.400002,56.206215,2966900
11/7/2016,62.630001,63.279999,61.619999,63.240002,56.962841,3102500
11/8/2016,62.889999,63.68,62.869999,63.23,57.490189,2970800
11/9/2016,62.009998,62.009998,61.02,61.25,55.689922,3160900
11/10/2016,61,61,58.57,59.740002,54.317001,5057600
11/11/2016,59.759998,60.880001,59.549999,59.990002,54.544308,3539800
11/14/2016,59.59,59.68,58.16,58.720001,53.389599,7074600
11/15/2016,58.970001,59.740002,58.950001,59.459999,54.062416,3537900
11/16/2016,59.459999,59.68,58.529999,58.990002,53.635082,2755400
11/17/2016,58.799999,59.32,58.799999,58.860001,53.516888,2307200
11/18/2016,58.84,59.23,58.310001,58.439999,53.13501,2775700
11/21/2016,58.619999,59.380001,58.610001,59.32,53.935127,2462300
11/22/2016,59.32,59.389999,58.880001,59.169998,53.798744,4091400
11/23/2016,58.639999,59.25,58.599998,58.82,53.480515,2438500
11/25/2016,59.07,59.950001,59.049999,59.720001,54.298817,984800
11/28/2016,60,61.139999,59.950001,60.900002,55.371696,2705300
11/29/2016,60.689999,61.450001,60.59,61.27,55.708111,2769700
11/30/2016,60.5,60.5,59.049999,59.049999,53.689632,3515300
12/1/2016,58.82,58.889999,57.889999,58.16,52.880428,3539300
12/2/2016,58.630001,59.169998,58.330002,58.700001,53.371414,2129800
12/5/2016,58.43,59.220001,57.900002,59.200001,53.826023,3400600
12/6/2016,59.389999,59.639999,59.009998,59.470001,54.071518,3343400
12/7/2016,59.73,60.34,59.459999,60.25,54.780704,2444700
12/8/2016,59.810001,60.360001,59.349998,60.18,54.71706,2876800
12/9/2016,60.299999,60.990002,60.25,60.990002,55.453533,2329400
12/12/2016,60.98,62.09,60.880001,61.950001,56.326382,2603000
12/13/2016,62.009998,62.779999,61.950001,62.709999,57.017391,2909000
12/14/2016,63.02,63.41,61.57,61.700001,56.099083,3726100
12/15/2016,61.32,62.139999,61.029999,62.110001,56.471863,2290700
12/16/2016,62.259998,62.84,62,62.810001,57.108322,3966200
12/19/2016,63.110001,63.200001,62.48,62.939999,57.226513,2011500
12/20/2016,62.959999,63.360001,62.73,63.209999,57.472,2549000
12/21/2016,63.049999,63.400002,62.790001,62.799999,57.099224,1506000
12/22/2016,62.799999,63.380001,62.700001,63.240002,57.499283,2143100
12/23/2016,63.529999,63.529999,62.849998,63.169998,57.435631,1121600
12/27/2016,62.970001,63.27,62.799999,63.130001,57.399273,1246500
12/28/2016,63.09,63.119999,62.299999,62.389999,56.726437,1501800
12/29/2016,62.68,63.380001,62.5,63.279999,57.535648,1508100
12/30/2016,63.32,63.419998,62.720001,62.959999,57.244698,1677000
1/3/2017,63.009998,63.029999,62.349998,62.759998,57.062851,1943800
1/4/2017,62.91,63.41,62.669998,62.849998,57.144684,2127200
1/5/2017,63.029999,63.43,62.389999,63.189999,57.453819,3884800
1/6/2017,62.900002,63.310001,62.720001,63.139999,57.408356,1769900
1/9/2017,62.959999,63.330002,62.200001,62.310001,56.653709,2381300
1/10/2017,62.580002,62.700001,61.82,62.119999,56.480953,2046000
1/11/2017,62.209999,63.189999,62.119999,63.18,57.444733,2918400
1/12/2017,62.959999,63.400002,62.799999,63.290001,57.544743,2139900
1/13/2017,63.099998,63.299999,62.75,63.23,57.490189,2506500
1/17/2017,63.450001,64.029999,63.299999,63.810001,58.017544,1705800
1/18/2017,63.529999,63.919998,63.389999,63.459999,57.69931,1883900
1/19/2017,63.189999,63.41,62.540001,62.700001,57.008305,2628100
1/20/2017,62.900002,63.150002,62.490002,62.91,57.199238,2015000
1/23/2017,62.91,63.139999,62.639999,62.709999,57.017391,1317800
1/24/2017,62.639999,62.900002,62.509998,62.779999,57.081039,2061100
1/25/2017,62.639999,62.830002,62.41,62.529999,56.853733,2316900
1/26/2017,62.5,62.82,62.139999,62.639999,56.953743,2525600
1/27/2017,62.779999,63.040001,62.48,62.970001,57.253792,2537400
1/30/2017,63.110001,63.400002,62.779999,63.209999,57.472,2265000
1/31/2017,63.150002,64.110001,62.950001,64.059998,58.24485,2712300
2/1/2017,63.580002,63.810001,63.02,63.09,57.3629,2779500
2/2/2017,63.110001,63.810001,62.970001,63.779999,57.990265,1802600
2/3/2017,63.779999,64.339996,63.639999,64.029999,58.217571,2288300
2/6/2017,64.25,64.410004,63.720001,63.82,58.026634,1741400
2/7/2017,63.82,64.010002,63.560001,63.93,58.12664,1552800
2/8/2017,63.32,64.019997,63.32,63.799999,58.548786,1817000
2/9/2017,63.799999,64.019997,63.360001,63.419998,58.200058,2517000
2/10/2017,63.349998,64.080002,63.310001,63.950001,58.686436,2429800
2/13/2017,63.970001,64.099998,63.459999,63.790001,58.539612,2188300
2/14/2017,63.639999,63.740002,62.959999,63.27,58.062405,2218600
2/15/2017,62.93,63.330002,62.689999,63.290001,58.080761,2068300
2/16/2017,63.389999,63.720001,63.310001,63.700001,58.457016,1890300
2/17/2017,63.799999,64.129997,63.529999,64.110001,58.833267,1955900
2/21/2017,63.98,64.870003,63.75,64.760002,59.429771,2067300
2/22/2017,64.669998,65.410004,64.519997,65.309998,59.934498,2455900
2/23/2017,65.550003,66.089996,65.309998,66.010002,60.576885,2286600
2/24/2017,66.190002,67.220001,66.150002,67.150002,61.623047,4094100
2/27/2017,67.059998,67.120003,66.510002,66.699997,61.210091,3101200
2/28/2017,66.699997,67.150002,66.480003,66.970001,61.45787,3912000
3/1/2017,66.199997,66.739998,65.889999,66.120003,60.67783,3147100
3/2/2017,65.900002,66.959999,65.860001,66.5,61.026554,2442900
3/3/2017,66.57,66.620003,65.959999,66.519997,61.044895,2127400
3/6/2017,66.370003,66.599998,66.059998,66.349998,60.888897,1832300
3/7/2017,66.25,66.519997,66.129997,66.239998,60.787952,2770000
3/8/2017,65.769997,65.900002,65.019997,65.150002,59.78767,3126100
3/9/2017,65.120003,65.650002,64.809998,64.839996,59.503178,2532300
3/10/2017,65.300003,65.589996,64.940002,65.400002,60.017086,2358600
3/13/2017,65.410004,65.849998,65.330002,65.809998,60.393341,1922000
3/14/2017,65.779999,65.93,65.519997,65.790001,60.374992,1641900
3/15/2017,65.860001,67,65.82,66.68,61.191738,1776000
3/16/2017,66.470001,66.5,65.860001,66.010002,60.576885,1615300
3/17/2017,66.160004,66.860001,66.080002,66.470001,60.99902,3823600
3/20/2017,66.620003,66.860001,65.989998,66.129997,60.687012,1861500
3/21/2017,66.099998,67.220001,66.089996,66.980003,61.467041,3159300
3/22/2017,67.339996,67.800003,67.120003,67.440002,61.889191,2609300
3/23/2017,67.349998,68.029999,67.230003,67.449997,61.89835,2554400
3/24/2017,67.389999,68.019997,67.269997,67.790001,62.210381,1969500
3/27/2017,67.940002,68.25,67.339996,67.690002,62.118618,2565000
3/28/2017,67.480003,67.900002,67.419998,67.839996,62.256256,2645000
3/29/2017,67.589996,67.720001,67.279999,67.389999,61.843304,2272400
3/30/2017,67.160004,67.389999,66.849998,67.160004,61.632229,2080900
3/31/2017,67.080002,67.510002,67.07,67.129997,61.604698,2259700
4/3/2017,67.019997,67.18,66.5,67.150002,61.623047,1939900
4/4/2017,67.160004,67.519997,66.959999,67.290001,61.751534,1767600
4/5/2017,67.279999,67.900002,67.099998,67.830002,62.247086,2162700
4/6/2017,67.620003,67.769997,67.360001,67.620003,62.054375,2073500
4/7/2017,67.800003,67.989998,67.300003,67.32,61.779064,2934600
4/10/2017,67.470001,67.629997,67.029999,67.5,61.944244,1556700
4/11/2017,67.389999,67.540001,66.989998,67.389999,61.843304,2046600
4/12/2017,67.150002,67.849998,67.019997,67.790001,62.210381,2286700
4/13/2017,67.800003,67.900002,67.290001,67.540001,61.980957,1899000
4/17/2017,67.669998,67.879997,67.559998,67.739998,62.164494,1452600
4/18/2017,67.769997,68.120003,67.650002,67.980003,62.38475,2427400
4/19/2017,67.989998,68.129997,67.510002,67.739998,62.164494,2802200
4/20/2017,67.739998,67.739998,66.970001,67.440002,61.889191,2518300
4/21/2017,67.279999,68.029999,67.279999,67.860001,62.274609,2721100
4/24/2017,67.82,68.089996,67.360001,67.970001,62.375561,2714500
4/25/2017,67.739998,68.029999,67.550003,67.860001,62.274609,1824500
4/26/2017,67.790001,68.120003,67.620003,67.690002,62.118618,2821600
4/27/2017,67.440002,68.459999,67.209999,68.099998,62.49485,2225400
4/28/2017,68.099998,68.239998,67.739998,67.830002,62.247086,2671300
5/1/2017,68.029999,68.029999,67.339996,67.470001,61.916706,1694400
5/2/2017,67.669998,68.160004,67.550003,68.010002,62.412281,3172000
5/3/2017,68,68.25,67.769997,67.900002,62.311329,1879000
5/4/2017,67.709999,68.120003,67.669998,68.019997,62.421444,2285000
5/5/2017,68.220001,68.660004,67.889999,68.410004,62.779346,2674800
5/8/2017,67.989998,68.18,67.519997,67.730003,62.696037,2650900
5/9/2017,67.629997,67.769997,67.239998,67.309998,62.307247,2340700
5/10/2017,67.349998,67.620003,67.129997,67.410004,62.399822,2236300
5/11/2017,67.230003,67.559998,66.93,67.550003,62.529419,1491200
5/12/2017,67.589996,68.300003,67.550003,68.059998,63.001499,2241700
5/15/2017,68.080002,68.720001,67.870003,68.559998,63.464336,2427700
5/16/2017,68.43,68.629997,67.849998,67.860001,62.816376,1556700
5/17/2017,67.860001,68.5,67.860001,68.150002,63.084831,2243900
5/18/2017,68.349998,68.889999,67.809998,68.309998,63.232925,2139900
5/19/2017,68.300003,68.739998,67.879997,68.720001,63.612453,2377600
5/22/2017,68.68,69.580002,68.599998,69.419998,64.260422,2881500
5/23/2017,69.43,70.07,69.370003,69.589996,64.417801,2251900
5/24/2017,69.739998,70.239998,69.660004,70.199997,64.982445,1997700
5/25/2017,70.169998,70.93,70.080002,70.800003,65.537857,2214200
5/26/2017,70.800003,71.010002,70.709999,70.870003,65.602661,3464800
5/30/2017,70.769997,71.260002,70.699997,71.209999,65.917381,2027900
5/31/2017,71.260002,71.910004,71.239998,71.779999,66.445023,2857100
6/1/2017,71.650002,72.220001,71.400002,72.209999,66.843063,2715100
6/2/2017,72.510002,72.720001,72.279999,72.669998,67.268867,2583700
6/5/2017,72.639999,72.690002,72.32,72.400002,67.018936,2723200
6/6/2017,72.620003,72.669998,72.059998,72.129997,66.76902,2485900
6/7/2017,72.260002,72.709999,72.07,72.620003,67.222603,2565300
6/8/2017,72.620003,72.650002,71.510002,71.949997,66.602394,2679900
6/9/2017,71.709999,72.040001,71.370003,71.860001,66.519081,2271600
6/12/2017,71.860001,72.230003,71.410004,71.410004,66.102524,3169400
6/13/2017,71.330002,71.68,71.050003,71.650002,66.324692,1800200
6/14/2017,72.230003,72.400002,71.690002,71.959999,66.611649,1792200
6/15/2017,71.93,72.160004,71.510002,72.139999,66.778267,2311500
6/16/2017,72.32,72.589996,71.970001,72.419998,67.037453,3326400
6/19/2017,72.419998,72.470001,71.739998,72.059998,66.704216,2076300
6/20/2017,72.099998,72.57,72.019997,72.559998,67.167061,2486600
6/21/2017,72.599998,72.970001,72.199997,72.400002,67.018936,6134900
6/22/2017,72.199997,72.449997,71.760002,71.790001,66.454285,2172100
6/23/2017,71.75,72.089996,71.43,71.550003,66.232132,2431800
6/26/2017,71.290001,72.199997,71.190002,71.870003,66.528328,2026000
6/27/2017,71.5,71.610001,70.629997,70.720001,65.463821,3003600
6/28/2017,70.910004,71.080002,70.120003,70.150002,64.936172,2553900
6/29/2017,69.82,69.82,69.190002,69.599998,64.427048,3112100
6/30/2017,69.769997,70.110001,69.470001,69.470001,64.306725,2130200
7/3/2017,69.690002,69.690002,68.93,69,63.871658,1592000
7/5/2017,69.050003,69.099998,68.620003,68.82,63.705036,2735700
7/6/2017,68.690002,69.150002,68.470001,69.019997,63.890156,2147800
7/7/2017,69.010002,69.410004,68.830002,69.150002,64.01049,1747500
7/10/2017,69.400002,69.470001,68.889999,68.889999,63.76981,1567600
7/11/2017,69,69.050003,68.669998,68.839996,63.723534,1813100
7/12/2017,69.400002,69.529999,68.970001,68.989998,63.862377,2287800
7/13/2017,68.900002,69.099998,68.279999,68.279999,63.205158,3489100
7/14/2017,68.739998,68.889999,68.110001,68.169998,63.103336,4900500
7/17/2017,68.239998,68.669998,68.120003,68.550003,63.455101,2885100
7/18/2017,68.629997,68.82,68.339996,68.360001,63.279221,2721400
7/19/2017,68.449997,68.769997,68.43,68.650002,63.547661,2981300
7/20/2017,68.769997,68.830002,68.410004,68.699997,63.593929,3771000
7/21/2017,68.739998,69.989998,68.68,69.980003,64.778801,2922300
7/24/2017,70,70,68.900002,69.190002,64.047523,4129500
7/25/2017,69.220001,69.309998,68.709999,68.839996,63.723534,1614100
7/26/2017,68.690002,69.510002,68.589996,69.449997,64.2882,1962900
7/27/2017,69.370003,70.800003,69.360001,70.669998,65.417519,4203300
7/28/2017,70.620003,70.809998,70.029999,70.43,65.195351,2570900
7/31/2017,70.449997,70.699997,70.029999,70.540001,65.297195,2268900
8/1/2017,70.589996,70.830002,70.370003,70.620003,65.371246,1629000
8/2/2017,70.370003,71.029999,70.080002,70.93,65.658203,1405000
8/3/2017,70.75,71.199997,70.610001,71.199997,65.908134,1794100
8/4/2017,70.980003,71.050003,70.32,70.879997,65.611916,1879500
8/7/2017,70.879997,71.389999,70.639999,71.389999,66.084023,2007000
8/8/2017,70.800003,71.389999,70.559998,71.349998,66.597374,2398000
8/9/2017,71.610001,71.610001,70.860001,70.959999,66.233353,2492200
8/10/2017,70.849998,71.419998,70.550003,71.360001,66.60672,2053500
8/11/2017,71.339996,71.339996,70.370003,70.559998,65.859993,2007600
8/14/2017,70.589996,71.150002,70.459999,71.050003,66.317352,1865200
