Date,Open,High,Low,Close,Adj Close,Volume
2009-10-19,20.020000,20.049999,19.690001,19.910000,15.277234,685600
2009-10-20,19.840000,19.959999,19.750000,19.870001,15.246546,935200
2009-10-21,19.790001,20.040001,19.740000,19.780001,15.177487,696900
2009-10-22,19.740000,19.980000,19.740000,19.900000,15.269566,508600
2009-10-23,19.900000,19.990000,19.469999,19.490000,14.954965,1041900
2009-10-26,19.559999,19.650000,19.100000,19.280001,14.793824,1148100
2009-10-27,19.180000,19.260000,18.959999,19.059999,14.625016,908000
2009-10-28,18.980000,19.250000,18.980000,19.049999,14.617351,3117900
2009-10-29,19.209999,19.270000,18.969999,19.209999,14.740115,746000
2009-10-30,19.100000,19.340000,18.910000,18.969999,14.555960,1185100
2009-11-02,19.090000,19.250000,18.969999,19.040001,14.609671,745200
2009-11-03,19.070000,19.400000,19.070000,19.330000,14.832201,554500
2009-11-04,19.350000,19.690001,19.280001,19.280001,14.793824,487300
2009-11-05,19.340000,19.610001,19.340000,19.590000,15.031699,694900
2009-11-06,19.490000,19.799999,19.459999,19.559999,15.008678,776800
2009-11-09,19.889999,20.549999,19.740000,20.500000,15.729949,1607500
2009-11-10,20.570000,20.570000,20.110001,20.139999,15.453722,677100
2009-11-11,20.240000,20.280001,19.900000,19.910000,15.277234,1044000
2009-11-12,19.920000,20.480000,19.850000,20.270000,15.553472,3593500
2009-11-13,20.290001,20.700001,20.020000,20.290001,15.568817,1807100
2009-11-16,20.200001,20.600000,20.110001,20.420000,15.832434,1139500
2009-11-17,20.540001,21.639999,20.450001,21.629999,16.770597,6546200
2009-11-18,21.450001,21.799999,21.360001,21.430000,16.615526,21216100
2009-11-19,21.260000,21.700001,21.129999,21.469999,16.646542,5397700
2009-11-20,21.459999,21.610001,21.160000,21.290001,16.506979,2626600
2009-11-23,21.520000,21.559999,21.250000,21.290001,16.506979,1953100
2009-11-24,21.330000,21.990000,21.290001,21.840000,16.933413,3478200
2009-11-25,21.790001,22.129999,21.629999,22.010000,17.065226,3058300
2009-11-27,21.600000,22.100000,21.559999,22.010000,17.065226,1367800
2009-11-30,22.120001,22.280001,21.820000,22.240000,17.243546,5991500
2009-12-01,22.389999,22.430000,22.170000,22.280001,17.274569,2474200
2009-12-02,22.389999,22.500000,21.840000,22.080000,17.119492,3007900
2009-12-03,22.190001,22.200001,21.740000,21.799999,16.902403,1983000
2009-12-04,22.080000,22.139999,21.469999,21.799999,16.902403,1447100
2009-12-07,21.750000,22.000000,21.690001,21.760000,16.871387,1745200
2009-12-08,21.790001,21.790001,21.340000,21.600000,16.747330,1446800
2009-12-09,21.730000,21.830000,21.600000,21.740000,16.855873,1742700
2009-12-10,21.750000,22.200001,21.660000,21.760000,16.871387,1551200
2009-12-11,21.920000,22.070000,21.760000,22.070000,17.111744,1223200
2009-12-14,22.150000,22.200001,21.830000,22.090000,17.127247,1163700
2009-12-15,21.940001,22.190001,21.889999,22.059999,17.103987,1605200
2009-12-16,22.059999,22.500000,22.040001,22.320000,17.305574,2004500
2009-12-17,22.340000,22.700001,22.209999,22.540001,17.476156,2270200
