Date,Open,High,Low,Close,Adj Close,Volume
2009-10-19,7.540000,7.680000,7.420000,7.570000,5.304426,62833900
2009-10-20,7.660000,7.830000,7.650000,7.710000,5.402526,50104000
2009-10-21,7.690000,7.980000,7.650000,7.780000,5.451577,69777200
2009-10-22,7.730000,7.870000,7.620000,7.760000,5.437561,53432400
2009-10-23,7.820000,7.840000,7.550000,7.630000,5.346469,47705600
2009-10-26,7.700000,7.840000,7.400000,7.470000,5.234354,60580400
2009-10-27,7.480000,7.530000,7.170000,7.330000,5.136253,72962600
2009-10-28,7.270000,7.340000,6.890000,6.960000,4.876989,94665300
2009-10-29,7.140000,7.350000,7.060000,7.300000,5.115232,69469900
2009-10-30,7.280000,7.300000,6.810000,7.000000,4.905019,95736100
2009-11-02,7.730000,7.840000,7.350000,7.580000,5.311434,208424500
2009-11-03,7.350000,7.670000,7.310000,7.440000,5.213332,193783100
2009-11-04,7.350000,7.430000,7.240000,7.270000,5.094210,240095200
2009-11-05,7.360000,7.500000,7.320000,7.450000,5.220339,125050200
2009-11-06,7.400000,7.750000,7.340000,7.750000,5.430555,159975800
2009-11-09,7.780000,8.180000,7.750000,8.180000,5.731863,203287900
2009-11-10,8.150000,8.350000,8.040000,8.240000,5.773905,136649800
2009-11-11,8.330000,8.400000,8.260000,8.330000,5.836971,89390000
2009-11-12,8.250000,8.440000,8.170000,8.200000,5.745877,86560300
2009-11-13,8.250000,8.450000,8.240000,8.410000,5.893027,86202200
2009-11-16,8.510000,8.790000,8.500000,8.710000,6.103243,121719000
2009-11-17,8.780000,9.000000,8.750000,8.980000,6.292436,126809600
2009-11-18,9.000000,9.140000,8.800000,8.940000,6.264407,120432800
2009-11-19,8.820000,8.820000,8.550000,8.730000,6.117256,90625800
2009-11-20,8.630000,8.780000,8.580000,8.640000,6.054193,59314700
2009-11-23,8.840000,8.910000,8.670000,8.730000,6.117256,61341800
2009-11-24,8.800000,8.830000,8.650000,8.810000,6.173315,47088400
2009-11-25,8.870000,8.900000,8.760000,8.810000,6.173315,26922600
2009-11-27,8.500000,8.810000,8.400000,8.730000,6.117256,42184800
2009-11-30,8.780000,8.930000,8.670000,8.890000,6.229370,58900100
2009-12-01,9.010000,9.070000,8.810000,8.880000,6.222364,104011700
2009-12-02,8.940000,9.070000,8.910000,9.010000,6.313459,63656600
2009-12-03,9.050000,9.110000,8.890000,8.940000,6.264407,57935400
2009-12-04,9.100000,9.140000,8.780000,8.940000,6.264407,79533500
2009-12-07,8.900000,9.000000,8.800000,8.910000,6.243387,41476300
2009-12-08,8.870000,8.890000,8.760000,8.820000,6.180321,57473000
2009-12-09,8.870000,9.010000,8.800000,8.860000,6.208350,52852400
2009-12-10,8.940000,9.090000,8.900000,9.050000,6.341488,63643700
2009-12-11,9.090000,9.100000,8.980000,9.000000,6.306450,63474700
2009-12-14,9.000000,9.100000,8.970000,9.080000,6.362509,37983700
2009-12-15,9.040000,9.460000,9.030000,9.390000,6.579731,109417900
2009-12-16,9.440000,9.640000,9.410000,9.490000,6.649802,71460500
2009-12-17,9.490000,9.560000,9.330000,9.390000,6.579731,55724600
2009-12-18,9.560000,9.730000,9.470000,9.680000,6.782938,88033100
2009-12-21,9.770000,9.800000,9.630000,9.670000,6.775929,53335700
2009-12-22,9.790000,9.900000,9.710000,9.900000,6.937095,50860300
2009-12-23,10.010000,10.110000,9.930000,10.080000,7.063224,64815000
2009-12-24,10.170000,10.200000,10.060000,10.130000,7.098261,24895700
2009-12-28,10.180000,10.370000,10.150000,10.200000,7.147312,53979900
2009-12-29,10.270000,10.290000,10.090000,10.110000,7.084245,40821600
2009-12-30,10.050000,10.080000,9.890000,9.990000,7.000160,46699600
2009-12-31,10.040000,10.060000,9.920000,10.000000,7.007170,31253700
2010-01-04,10.170000,10.280000,10.050000,10.280000,7.203366,60855800
2010-01-05,10.450000,11.240000,10.400000,10.960000,7.679856,215620200
2010-01-06,11.210000,11.460000,11.130000,11.370000,7.967147,200070600
2010-01-07,11.460000,11.690000,11.320000,11.660000,8.170358,130201700
2010-01-08,11.670000,11.740000,11.460000,11.690000,8.191377,130463000
2010-01-11,11.900000,12.140000,11.780000,12.110000,8.485678,170626200
2010-01-12,11.980000,12.030000,11.720000,11.870000,8.317506,162995900
2010-01-13,11.910000,11.930000,11.470000,11.680000,8.184372,154527100
2010-01-14,11.650000,11.860000,11.510000,11.760000,8.240427,116531200
2010-01-15,11.740000,11.760000,11.550000,11.600000,8.128313,96149800
2010-01-19,11.510000,11.830000,11.460000,11.750000,8.233422,65934000
2010-01-20,11.680000,11.690000,11.500000,11.510000,8.065249,71649500
2010-01-21,11.530000,11.620000,11.010000,11.180000,7.834013,121451400
2010-01-22,11.010000,11.120000,10.410000,10.520000,7.371540,161530100
2010-01-25,10.730000,11.100000,10.610000,11.030000,7.728905,121621500
