Date,Open,High,Low,Close,Adj Close,Volume
2016-10-18,55.500000,56.790001,55.119999,56.299999,56.299999,3257300
2016-10-19,56.380001,58.869999,56.380001,58.580002,58.580002,5420900
2016-10-20,58.270000,58.880001,57.500000,57.770000,57.770000,2975300
2016-10-21,57.189999,57.599998,56.419998,57.000000,57.000000,2891700
2016-10-24,56.910000,57.330002,56.150002,56.200001,56.200001,1880000
2016-10-25,54.490002,56.270000,54.000000,55.110001,55.110001,3377200
2016-10-26,55.230000,57.869999,55.189999,57.009998,57.009998,3153400
2016-10-27,57.029999,57.459999,56.509998,57.220001,57.220001,2411900
2016-10-28,57.450001,59.000000,57.250000,58.400002,58.400002,2589700
2016-10-31,58.360001,58.500000,57.139999,57.250000,57.250000,1821800
2016-11-01,57.340000,57.650002,56.630001,57.310001,57.310001,1397500
2016-11-02,57.279999,58.299999,56.930000,57.400002,57.400002,1849700
2016-11-03,57.730000,57.869999,55.020000,55.110001,55.110001,1994000
2016-11-04,55.369999,56.529999,55.189999,55.840000,55.840000,1534200
2016-11-07,56.590000,56.849998,55.419998,55.700001,55.700001,2171100
2016-11-08,55.830002,57.279999,55.520000,56.970001,56.970001,1792800
2016-11-09,55.619999,58.070000,54.650002,57.790001,57.790001,1641400
2016-11-10,58.389999,58.849998,56.490002,57.060001,57.060001,1664000
2016-11-11,57.070000,57.919998,56.830002,57.840000,57.840000,980000
2016-11-14,58.060001,58.520000,57.349998,57.830002,57.830002,1288800
2016-11-15,58.119999,58.459999,56.529999,56.810001,56.810001,1816100
2016-11-16,55.299999,56.750000,55.130001,56.669998,56.669998,1834300
2016-11-17,56.509998,57.880001,56.320000,57.540001,57.540001,1197900
2016-11-18,57.570000,57.860001,54.500000,54.610001,54.610001,3072700
2016-11-21,54.970001,56.259998,54.830002,55.799999,55.799999,2404200
2016-11-22,55.900002,58.419998,55.599998,58.240002,58.240002,2799800
2016-11-23,57.910000,58.980000,57.500000,57.910000,57.910000,1301500
2016-11-25,58.439999,58.560001,57.709999,57.990002,57.990002,483000
2016-11-28,57.700001,58.090000,56.599998,57.209999,57.209999,1522200
2016-11-29,57.480000,58.750000,57.090000,58.320000,58.320000,2857700
2016-11-30,58.480000,59.480000,56.919998,56.990002,56.990002,1986600
2016-12-01,56.759998,58.080002,56.450001,56.529999,56.529999,1524900
2016-12-02,54.750000,56.450001,54.270000,55.310001,55.310001,2691900
2016-12-05,55.660000,57.990002,55.650002,57.119999,57.119999,4914000
2016-12-06,57.619999,58.340000,56.730000,57.240002,57.240002,2262100
2016-12-07,57.520000,60.119999,57.450001,59.840000,59.840000,7165100
2016-12-08,70.510002,72.699997,68.720001,68.839996,68.839996,16476000
2016-12-09,68.839996,69.709999,68.250000,69.300003,69.300003,3597000
2016-12-12,69.370003,70.029999,68.750000,69.709999,69.709999,2339800
2016-12-13,69.889999,70.739998,68.419998,68.480003,68.480003,2492400
2016-12-14,68.089996,69.209999,68.010002,68.639999,68.639999,1725200
2016-12-15,69.000000,69.000000,66.919998,67.309998,67.309998,1679200
2016-12-16,67.180000,67.699997,65.860001,66.419998,66.419998,2483900
2016-12-19,66.000000,67.440002,65.750000,66.699997,66.699997,1393300
2016-12-20,66.610001,68.000000,66.470001,67.589996,67.589996,1268300
2016-12-21,67.239998,67.889999,66.540001,66.970001,66.970001,1132700
2016-12-22,66.660004,66.940002,64.419998,64.580002,64.580002,2005100
2016-12-23,64.610001,65.370003,64.199997,64.410004,64.410004,793600
2016-12-27,64.589996,65.019997,64.169998,64.440002,64.440002,758900
2016-12-28,64.639999,64.779999,63.650002,64.480003,64.480003,821400
2016-12-29,64.510002,65.250000,64.230003,64.389999,64.389999,985400
2016-12-30,64.669998,65.720001,64.430000,64.989998,64.989998,1611300
2017-01-03,65.940002,67.870003,65.720001,66.849998,66.849998,2871000
2017-01-04,66.970001,69.989998,66.879997,69.410004,69.410004,4938600
2017-01-05,68.430000,69.379997,67.360001,68.730003,68.730003,2286800
2017-01-06,68.739998,69.709999,67.860001,68.269997,68.269997,2185200
2017-01-09,67.209999,68.540001,67.150002,68.190002,68.190002,2240200
2017-01-10,68.769997,70.500000,68.500000,69.900002,69.900002,2783900
2017-01-11,69.959999,70.250000,68.330002,69.400002,69.400002,1946200
2017-01-12,68.660004,69.339996,68.309998,68.620003,68.620003,1372500
2017-01-13,68.900002,69.250000,67.599998,67.919998,67.919998,1073500
2017-01-17,68.040001,69.279999,68.040001,68.779999,68.779999,1274400
2017-01-18,69.120003,69.120003,67.910004,68.500000,68.500000,772100
2017-01-19,67.919998,68.180000,66.639999,66.989998,66.989998,1366600
2017-01-20,67.309998,67.800003,67.019997,67.320000,67.320000,1252100
2017-01-23,66.989998,67.220001,66.010002,66.860001,66.860001,1010200
2017-01-24,67.160004,68.150002,67.160004,67.769997,67.769997,1278400
2017-01-25,68.400002,68.870003,68.040001,68.820000,68.820000,857600
2017-01-26,68.690002,69.040001,67.610001,67.639999,67.639999,1010400
2017-01-27,67.739998,67.739998,66.040001,66.820000,66.820000,1264600
2017-01-30,66.639999,66.959999,65.669998,66.889999,66.889999,1180600
2017-01-31,65.089996,67.779999,65.089996,67.510002,67.510002,1584200
2017-02-01,67.870003,67.889999,66.080002,66.400002,66.400002,1220300
