Date,Open,High,Low,Close,Adj Close,Volume
2019-11-04,134.119995,134.139999,132.470001,132.919998,132.919998,7631800
2019-11-05,132.770004,132.770004,130.889999,131.449997,131.449997,7404500
2019-11-06,131.600006,131.660004,130.660004,131.270004,131.270004,9132500
2019-11-07,132.350006,133.699997,131.750000,132.960007,132.960007,18047600
2019-11-08,140.220001,140.250000,136.740005,137.960007,137.960007,24175900
2019-11-11,137.500000,138.559998,136.210007,136.740005,136.740005,10138400
2019-11-12,138.029999,139.339996,136.740005,138.580002,138.580002,17284000
2019-11-13,138.580002,149.919998,136.839996,148.720001,148.720001,45725400
2019-11-14,148.000000,150.630005,146.279999,147.149994,147.149994,28393600
2019-11-15,147.139999,147.199997,144.210007,144.669998,144.669998,13733400
2019-11-18,144.750000,149.039993,143.690002,147.649994,147.649994,15353100
2019-11-19,148.179993,149.479996,146.800003,148.380005,148.380005,11504300
2019-11-20,148.089996,148.990005,146.029999,146.929993,146.929993,9448400
2019-11-21,147.160004,147.470001,146.259995,146.899994,146.899994,6241400
2019-11-22,147.210007,149.440002,146.679993,148.289993,148.289993,9639400
2019-11-25,148.800003,150.210007,147.699997,149.690002,149.690002,11316800
2019-11-26,151.750000,153.410004,150.610001,151.639999,151.639999,24949900
2019-11-27,152.300003,152.570007,151.149994,151.479996,151.479996,6155400
2019-11-29,151.479996,152.470001,151.009995,151.580002,151.580002,6284900
2019-12-02,152.940002,152.970001,149.100006,150.619995,150.619995,10351000
2019-12-03,147.740005,149.110001,146.869995,148.580002,148.580002,9273800
2019-12-04,149.300003,149.330002,148.179993,148.279999,148.279999,7684800
2019-12-05,148.690002,148.830002,147.100006,147.440002,147.440002,7363300
2019-12-06,148.399994,148.610001,147.179993,147.660004,147.660004,7084900
