Date,Open,High,Low,Close,Adj Close,Volume
10/18/2016,67.720001,68.07,67.230003,67.830002,65.223312,3016800
10/19/2016,67.949997,68.25,67.739998,67.959999,65.348305,1631700
10/20/2016,67.75,67.849998,66.790001,67.400002,64.809853,2068000
10/21/2016,67.059998,67.510002,66.589996,67.139999,64.55983,1855400
10/24/2016,67.75,68.470001,67.360001,67.379997,64.790596,2610300
10/25/2016,67.360001,67.510002,67,67.209999,64.627129,2038200
10/26/2016,66.480003,66.989998,65.910004,66.690002,64.127129,3820800
10/27/2016,66.699997,66.959999,66.209999,66.919998,64.348267,2306900
10/28/2016,66.980003,67.879997,66.690002,67.440002,64.848297,1993000
10/31/2016,67.720001,68.959999,67.720001,68.699997,66.059883,2697800
11/1/2016,68.68,69,67.739998,68.32,65.694473,3147200
11/2/2016,68.400002,69.269997,68.029999,68.400002,65.771408,2920100
11/3/2016,68.580002,69.400002,68.400002,69.239998,66.579132,3203700
11/4/2016,68.68,70.599998,68.68,69.610001,66.934906,4147500
11/7/2016,70.660004,71.18,70.279999,71.099998,68.367645,3578100
11/8/2016,70,73.639999,69.040001,73.019997,70.213844,7883400
11/9/2016,71.160004,74.279999,71,74.080002,71.233139,5023400
11/10/2016,74.519997,75.089996,73.220001,73.419998,70.59848,5273800
11/11/2016,73.150002,73.860001,72.75,73.389999,70.569626,2986500
11/14/2016,73.5,77.809998,73.459999,77.239998,74.271683,7313000
11/15/2016,77,77.849998,76.739998,77.709999,74.723625,3863400
11/16/2016,77.389999,78.18,77.279999,77.57,74.589005,2746900
11/17/2016,77.510002,78.029999,77.230003,77.470001,74.492844,2294400
11/18/2016,77.419998,77.639999,77.040001,77.139999,74.175545,1647300
11/21/2016,77.040001,77.82,76.879997,77.290001,74.609932,2605600
11/22/2016,77.379997,77.980003,77.160004,77.849998,75.150497,2706100
11/23/2016,77.599998,78.120003,77.330002,78.080002,75.372528,1817800
11/25/2016,78.099998,78.900002,77.260002,78.519997,75.797264,1059600
11/28/2016,77.550003,78.519997,77.029999,78.07,75.362869,3418700
11/29/2016,78.089996,79.580002,78.089996,79.110001,76.366821,3428000
11/30/2016,79.07,79.389999,78.029999,78.779999,76.048264,3540300
12/1/2016,78.470001,80.290001,78.470001,79.82,77.052193,4127100
12/2/2016,79.18,80.269997,78.790001,79.199997,76.453697,2769300
12/5/2016,80.510002,81.25,80.040001,81,78.191277,3508000
12/6/2016,81,82.099998,80.669998,82.080002,79.233818,2907300
12/7/2016,82.120003,84.269997,81.860001,83.919998,81.010025,3964700
12/8/2016,84.080002,84.589996,83.150002,83.489998,80.594933,4059400
12/9/2016,83.980003,83.980003,83.07,83.550003,80.65284,2386200
12/12/2016,83.43,83.980003,82.760002,83.910004,81.000381,2086100
12/13/2016,84,84.959999,83.870003,84.400002,81.473389,2501800
12/14/2016,84.550003,85.050003,83.760002,83.940002,81.029327,2012000
12/15/2016,84.43,85.349998,83.919998,84.330002,81.4058,3305200
12/16/2016,84.889999,86.150002,84.300003,86.050003,83.06617,9997200
12/19/2016,85.75,86,84.709999,84.860001,81.917427,3139200
12/20/2016,85.269997,85.769997,84.809998,85.099998,82.149109,2637600
12/21/2016,85.07,85.449997,84.75,84.849998,81.907768,1818200
12/22/2016,84.970001,85,83.330002,83.730003,80.826614,2575100
12/23/2016,83.730003,84.169998,83.599998,84.089996,81.174118,2316900
12/27/2016,84.5,84.690002,83.949997,84.139999,81.222397,1374200
12/28/2016,84.410004,84.5,83.309998,83.360001,80.469452,1557700
12/29/2016,83.57,83.739998,83.110001,83.32,80.430832,1590400
12/30/2016,83.480003,83.610001,82.540001,82.68,79.813019,2403000
1/3/2017,83.349998,83.849998,81.709999,82.5,79.639267,3277100
