Date,Open,High,Low,Close,Adj Close,Volume
2018-11-23,119.519997,119.959999,119.320000,119.709999,119.709999,134000
2018-11-26,120.550003,121.309998,120.540001,121.269997,121.269997,149400
2018-11-27,121.879997,122.150002,120.669998,121.000000,121.000000,323900
2018-11-28,120.610001,121.580002,119.589996,121.580002,121.580002,281100
2018-11-29,121.519997,122.320000,121.379997,121.779999,121.779999,125600
2018-11-30,120.800003,121.580002,120.800003,121.480003,121.480003,194700
2018-12-03,123.260002,123.820000,123.120003,123.510002,123.510002,261000
2018-12-04,122.269997,122.849998,120.320000,120.879997,120.879997,273500
2018-12-06,120.269997,121.839996,119.410004,121.830002,121.830002,354600
2018-12-07,121.650002,122.029999,119.400002,119.970001,119.970001,206100
2018-12-10,121.050003,121.269997,119.559998,120.940002,120.940002,344200
2018-12-11,120.680000,121.150002,119.940002,120.410004,120.410004,322000
2018-12-12,122.349998,122.900002,121.849998,121.889999,121.889999,145400
2018-12-13,121.540001,121.540001,120.370003,120.779999,120.779999,217400
2018-12-14,120.330002,121.019997,119.900002,120.099998,120.099998,132000
2018-12-17,120.000000,120.510002,119.120003,119.550003,119.550003,189100
2018-12-18,120.879997,121.269997,119.839996,120.010002,120.010002,181700
2018-12-19,120.510002,122.000000,118.870003,119.379997,119.379997,207900
2018-12-20,119.000000,119.529999,117.379997,118.449997,118.449997,176900
2018-12-21,115.620003,116.209999,113.900002,113.959999,113.959999,379700
2018-12-24,113.449997,113.570000,111.570000,111.809998,111.809998,335800
2018-12-26,112.540001,113.889999,111.120003,113.720001,113.720001,390600
2018-12-27,113.410004,115.480003,113.120003,115.480003,115.480003,230400
2018-12-28,115.959999,117.250000,115.779999,116.339996,116.339996,179300
2018-12-31,116.440002,116.769997,115.389999,116.080002,116.080002,184700
2019-01-02,114.680000,116.529999,114.680000,116.279999,116.279999,169900
2019-01-03,115.849998,116.279999,114.290001,114.650002,114.650002,309500
2019-01-04,117.940002,120.169998,117.510002,119.730003,119.730003,307500
2019-01-07,120.709999,122.180000,120.320000,121.279999,121.279999,156100
2019-01-08,123.160004,123.480003,121.959999,122.309998,122.309998,150400
2019-01-09,122.849998,123.300003,122.389999,122.919998,122.919998,139800
2019-01-10,123.709999,124.580002,123.269997,124.489998,124.489998,202900
2019-01-11,125.010002,125.519997,124.879997,125.070000,125.070000,135500
2019-01-14,124.540001,126.099998,124.489998,125.389999,125.389999,156600
2019-01-15,126.150002,126.639999,125.459999,126.279999,126.279999,172300
2019-01-16,126.059998,126.370003,125.599998,125.660004,125.660004,171400
2019-01-17,124.489998,125.290001,124.019997,124.919998,124.919998,138700
2019-01-18,124.889999,125.790001,124.870003,125.349998,125.349998,158600
2019-01-22,124.000000,124.349998,123.059998,123.599998,123.599998,159800
2019-01-23,123.070000,123.279999,121.910004,122.470001,122.470001,130600
2019-01-24,122.639999,123.070000,122.309998,122.830002,122.830002,90400
2019-01-25,123.739998,123.989998,123.459999,123.720001,123.720001,80000
2019-01-28,122.260002,122.570000,121.860001,122.480003,122.480003,132000
2019-01-29,122.480003,122.830002,122.190002,122.269997,122.269997,85300
2019-01-30,122.099998,123.489998,121.690002,123.040001,123.040001,132300
2019-01-31,122.699997,123.379997,122.330002,123.169998,123.169998,108500
2019-02-01,122.430000,122.650002,121.650002,122.000000,122.000000,152700
2019-02-04,122.440002,122.940002,121.940002,122.900002,122.900002,104000
2019-02-05,123.519997,123.720001,123.209999,123.470001,123.470001,120300
2019-02-06,121.720001,122.010002,120.580002,121.050003,121.050003,271200
2019-02-07,119.239998,119.410004,117.379997,118.110001,118.110001,310700
2019-02-08,117.279999,117.320000,116.400002,117.309998,117.309998,206100
2019-02-11,117.889999,117.889999,117.000000,117.150002,117.150002,167500
2019-02-12,119.040001,119.830002,119.040001,119.779999,119.779999,207600
2019-02-13,119.959999,120.059998,119.360001,119.629997,119.629997,111200
2019-02-14,119.080002,119.500000,118.629997,119.250000,119.250000,235600
2019-02-15,120.349998,121.230003,120.209999,121.150002,121.150002,164900
2019-02-19,120.519997,121.769997,120.519997,121.489998,121.489998,104100
2019-02-20,122.309998,123.360001,122.290001,122.790001,122.790001,173000
2019-02-21,121.739998,121.980003,121.089996,121.239998,121.239998,173100
2019-02-22,121.940002,122.019997,121.449997,121.820000,121.820000,105000
2019-02-25,122.709999,122.949997,122.400002,122.410004,122.410004,119400
2019-02-26,122.750000,123.650002,122.750000,123.230003,123.230003,102400
2019-02-27,122.699997,122.760002,122.089996,122.320000,122.320000,132900
2019-02-28,121.300003,121.440002,120.540001,121.040001,121.040001,124800
2019-03-01,120.400002,120.599998,119.629997,120.339996,120.339996,211500
2019-03-04,119.019997,119.029999,117.959999,118.419998,118.419998,240300
2019-03-05,118.500000,118.500000,117.919998,118.260002,118.260002,149800
2019-03-06,118.110001,118.309998,117.879997,117.980003,117.980003,153000
2019-03-07,118.239998,118.260002,116.809998,117.239998,117.239998,138500
2019-03-08,116.809998,117.730003,116.809998,117.709999,117.709999,100200
2019-03-11,118.500000,119.360001,118.500000,119.129997,119.129997,134700
